2026-01-25 03:12:15, Epoch 38, LR 0.000010, Acc 99.60, LOSS 0.092239, EER 28.7143, minDCF 0.986, Train Time 111.58s, Eval Time 87.74s
2026-01-25 03:15:39, Epoch 39, LR 0.000010, Acc 99.64, LOSS 0.091840, EER 28.7429, minDCF 0.985, Train Time 111.78s, Eval Time 92.35s
2026-01-25 03:18:58, Epoch 40, LR 0.000010, Acc 99.63, LOSS 0.091671, EER 28.7714, minDCF 0.989, Train Time 111.05s, Eval Time 88.09s
2026-01-25 03:22:25, Epoch 41, LR 0.000010, Acc 99.70, LOSS 0.087204, EER 29.0286, minDCF 0.989, Train Time 111.52s, Eval Time 94.96s
2026-01-25 03:25:52, Epoch 42, LR 0.000010, Acc 99.78, LOSS 0.085040, EER 29.1429, minDCF 0.985, Train Time 112.00s, Eval Time 95.05s
2026-01-25 03:29:20, Epoch 43, LR 0.000010, Acc 99.65, LOSS 0.088619, EER 28.7714, minDCF 0.987, Train Time 111.42s, Eval Time 96.65s
2026-01-25 03:32:38, Epoch 44, LR 0.000010, Acc 99.73, LOSS 0.083005, EER 28.7714, minDCF 0.992, Train Time 111.27s, Eval Time 86.99s
2026-01-25 03:36:03, Epoch 45, LR 0.000010, Acc 99.68, LOSS 0.081761, EER 28.6571, minDCF 0.993, Train Time 111.26s, Eval Time 93.42s
2026-01-25 03:39:25, Epoch 46, LR 0.000010, Acc 99.70, LOSS 0.080867, EER 28.8857, minDCF 0.992, Train Time 111.26s, Eval Time 90.96s
2026-01-25 03:42:51, Epoch 47, LR 0.000010, Acc 99.72, LOSS 0.081773, EER 28.9143, minDCF 0.994, Train Time 111.83s, Eval Time 93.74s
2026-01-25 03:46:12, Epoch 48, LR 0.000010, Acc 99.71, LOSS 0.081133, EER 28.7143, minDCF 0.988, Train Time 111.45s, Eval Time 89.96s
2026-01-25 03:49:38, Epoch 49, LR 0.000010, Acc 99.73, LOSS 0.079756, EER 28.7143, minDCF 0.989, Train Time 111.82s, Eval Time 93.90s
2026-01-25 03:52:59, Epoch 50, LR 0.000010, Acc 99.71, LOSS 0.079349, EER 28.4857, minDCF 0.988, Train Time 111.56s, Eval Time 89.45s
2026-01-25 03:56:46, Epoch 51, LR 0.000010, Acc 99.79, LOSS 0.078125, EER 28.6857, minDCF 0.987, Train Time 111.67s, Eval Time 115.36s
2026-01-25 04:00:32, Epoch 52, LR 0.000010, Acc 99.75, LOSS 0.077154, EER 28.5429, minDCF 0.986, Train Time 111.56s, Eval Time 114.64s
2026-01-25 04:03:55, Epoch 53, LR 0.000010, Acc 99.74, LOSS 0.077138, EER 28.4571, minDCF 0.989, Train Time 112.10s, Eval Time 90.83s
2026-01-25 04:07:37, Epoch 54, LR 0.000010, Acc 99.78, LOSS 0.074418, EER 28.6286, minDCF 0.985, Train Time 111.69s, Eval Time 109.92s
2026-01-25 04:11:07, Epoch 55, LR 0.000010, Acc 99.77, LOSS 0.075808, EER 28.4286, minDCF 0.990, Train Time 111.91s, Eval Time 98.50s
2026-01-25 04:14:27, Epoch 56, LR 0.000010, Acc 99.80, LOSS 0.073828, EER 28.4286, minDCF 0.990, Train Time 111.63s, Eval Time 87.50s
2026-01-25 04:18:01, Epoch 57, LR 0.000010, Acc 99.77, LOSS 0.073383, EER 28.0857, minDCF 0.990, Train Time 111.55s, Eval Time 103.39s
2026-01-25 04:21:22, Epoch 58, LR 0.000010, Acc 99.80, LOSS 0.071662, EER 28.1143, minDCF 0.986, Train Time 111.89s, Eval Time 88.21s
2026-01-25 04:25:39, Epoch 59, LR 0.000010, Acc 99.78, LOSS 0.072428, EER 28.6286, minDCF 0.987, Train Time 111.42s, Eval Time 146.02s
2026-01-25 04:29:03, Epoch 60, LR 0.000010, Acc 99.81, LOSS 0.069449, EER 28.2286, minDCF 0.985, Train Time 111.91s, Eval Time 91.56s
2026-01-25 04:32:25, Epoch 61, LR 0.000010, Acc 99.84, LOSS 0.070343, EER 28.5429, minDCF 0.988, Train Time 111.87s, Eval Time 90.44s
2026-01-25 04:35:42, Epoch 62, LR 0.000010, Acc 99.80, LOSS 0.068539, EER 28.0857, minDCF 0.988, Train Time 111.88s, Eval Time 85.61s
2026-01-25 04:39:01, Epoch 63, LR 0.000010, Acc 99.80, LOSS 0.068466, EER 27.8000, minDCF 0.981, Train Time 111.08s, Eval Time 87.25s
2026-01-25 04:42:22, Epoch 64, LR 0.000010, Acc 99.84, LOSS 0.068540, EER 27.9714, minDCF 0.985, Train Time 112.08s, Eval Time 89.08s
2026-01-25 04:45:46, Epoch 65, LR 0.000010, Acc 99.83, LOSS 0.068022, EER 28.7429, minDCF 0.985, Train Time 111.90s, Eval Time 91.65s
2026-01-25 04:49:18, Epoch 66, LR 0.000010, Acc 99.85, LOSS 0.065490, EER 28.3714, minDCF 0.986, Train Time 111.74s, Eval Time 100.14s
2026-01-25 04:52:38, Epoch 67, LR 0.000010, Acc 99.83, LOSS 0.066529, EER 28.0000, minDCF 0.986, Train Time 111.11s, Eval Time 89.40s
2026-01-25 04:56:05, Epoch 68, LR 0.000010, Acc 99.85, LOSS 0.064044, EER 28.0571, minDCF 0.982, Train Time 111.34s, Eval Time 95.87s
2026-01-25 04:59:23, Epoch 69, LR 0.000010, Acc 99.85, LOSS 0.063049, EER 28.1714, minDCF 0.989, Train Time 111.06s, Eval Time 86.75s
2026-01-25 05:02:51, Epoch 70, LR 0.000010, Acc 99.84, LOSS 0.064310, EER 28.3429, minDCF 0.985, Train Time 111.37s, Eval Time 96.99s
2026-01-25 05:06:09, Epoch 71, LR 0.000010, Acc 99.87, LOSS 0.062202, EER 28.6571, minDCF 0.990, Train Time 111.25s, Eval Time 86.34s
2026-01-25 05:09:32, Epoch 72, LR 0.000010, Acc 99.90, LOSS 0.062239, EER 28.0857, minDCF 0.986, Train Time 111.47s, Eval Time 91.11s
2026-01-25 05:13:02, Epoch 73, LR 0.000010, Acc 99.85, LOSS 0.062687, EER 28.4286, minDCF 0.989, Train Time 111.14s, Eval Time 99.69s
