2026-01-25 02:12:21, Epoch 38, LR 0.000010, Acc 99.43, LOSS 0.111015, EER 25.5143, minDCF 0.889, Train Time 40.47s, Eval Time 71.66s
2026-01-25 02:14:16, Epoch 39, LR 0.000010, Acc 99.44, LOSS 0.109314, EER 25.3429, minDCF 0.883, Train Time 40.60s, Eval Time 74.91s
2026-01-25 02:16:46, Epoch 40, LR 0.000010, Acc 99.57, LOSS 0.106248, EER 25.8286, minDCF 0.888, Train Time 40.22s, Eval Time 109.39s
2026-01-25 02:18:39, Epoch 41, LR 0.000010, Acc 99.50, LOSS 0.103415, EER 25.7143, minDCF 0.894, Train Time 40.45s, Eval Time 72.85s
2026-01-25 02:20:32, Epoch 42, LR 0.000010, Acc 99.57, LOSS 0.104096, EER 26.2571, minDCF 0.892, Train Time 40.43s, Eval Time 71.76s
2026-01-25 02:22:25, Epoch 43, LR 0.000010, Acc 99.50, LOSS 0.102643, EER 25.5714, minDCF 0.889, Train Time 40.63s, Eval Time 72.72s
2026-01-25 02:24:20, Epoch 44, LR 0.000010, Acc 99.56, LOSS 0.099483, EER 25.2286, minDCF 0.898, Train Time 40.48s, Eval Time 74.20s
2026-01-25 02:26:13, Epoch 45, LR 0.000010, Acc 99.57, LOSS 0.099169, EER 25.1429, minDCF 0.900, Train Time 40.25s, Eval Time 73.05s
2026-01-25 02:28:14, Epoch 46, LR 0.000010, Acc 99.48, LOSS 0.098419, EER 25.5429, minDCF 0.896, Train Time 40.59s, Eval Time 80.69s
2026-01-25 02:30:07, Epoch 47, LR 0.000010, Acc 99.40, LOSS 0.103267, EER 25.0571, minDCF 0.901, Train Time 40.57s, Eval Time 71.93s
2026-01-25 02:31:59, Epoch 48, LR 0.000010, Acc 99.53, LOSS 0.093430, EER 24.8857, minDCF 0.901, Train Time 40.50s, Eval Time 72.01s
