2026-02-09 02:07:45, Epoch 38, LR 0.000010, Acc 99.60, LOSS 0.092304, EER 28.6286, minDCF 0.985, Train Time 110.86s, Eval Time 87.05s
2026-02-09 02:11:04, Epoch 39, LR 0.000010, Acc 99.63, LOSS 0.091839, EER 28.6286, minDCF 0.982, Train Time 111.05s, Eval Time 87.96s
2026-02-09 02:14:20, Epoch 40, LR 0.000010, Acc 99.60, LOSS 0.091655, EER 28.4857, minDCF 0.991, Train Time 111.46s, Eval Time 85.19s
2026-02-09 02:17:37, Epoch 41, LR 0.000010, Acc 99.69, LOSS 0.087205, EER 28.9429, minDCF 0.992, Train Time 110.83s, Eval Time 85.20s
2026-02-09 02:20:54, Epoch 42, LR 0.000010, Acc 99.78, LOSS 0.085029, EER 29.1143, minDCF 0.987, Train Time 110.73s, Eval Time 86.53s
2026-02-09 02:24:09, Epoch 43, LR 0.000010, Acc 99.66, LOSS 0.088550, EER 28.6000, minDCF 0.989, Train Time 111.02s, Eval Time 84.44s
2026-02-09 02:27:28, Epoch 44, LR 0.000010, Acc 99.75, LOSS 0.082877, EER 28.6571, minDCF 0.992, Train Time 110.94s, Eval Time 87.39s
2026-02-09 02:30:44, Epoch 45, LR 0.000010, Acc 99.70, LOSS 0.081802, EER 28.5714, minDCF 0.994, Train Time 110.85s, Eval Time 85.87s
2026-02-09 02:34:00, Epoch 46, LR 0.000010, Acc 99.71, LOSS 0.080693, EER 28.7714, minDCF 0.994, Train Time 110.84s, Eval Time 84.60s
2026-02-09 02:37:14, Epoch 47, LR 0.000010, Acc 99.73, LOSS 0.081773, EER 28.9143, minDCF 0.994, Train Time 110.84s, Eval Time 83.76s
2026-02-09 02:40:33, Epoch 48, LR 0.000010, Acc 99.69, LOSS 0.081259, EER 28.5714, minDCF 0.990, Train Time 110.96s, Eval Time 87.41s
2026-02-09 02:43:49, Epoch 49, LR 0.000010, Acc 99.73, LOSS 0.079708, EER 28.6571, minDCF 0.991, Train Time 110.80s, Eval Time 85.61s
2026-02-09 02:47:06, Epoch 50, LR 0.000010, Acc 99.72, LOSS 0.079336, EER 28.4000, minDCF 0.988, Train Time 111.15s, Eval Time 85.90s
2026-02-09 02:50:23, Epoch 51, LR 0.000010, Acc 99.78, LOSS 0.078137, EER 28.8000, minDCF 0.985, Train Time 110.86s, Eval Time 85.65s
2026-02-09 02:53:40, Epoch 52, LR 0.000010, Acc 99.75, LOSS 0.077268, EER 28.2571, minDCF 0.985, Train Time 110.90s, Eval Time 85.95s
2026-02-09 02:56:57, Epoch 53, LR 0.000010, Acc 99.72, LOSS 0.077126, EER 28.3429, minDCF 0.989, Train Time 111.21s, Eval Time 86.45s
2026-02-09 03:00:16, Epoch 54, LR 0.000010, Acc 99.79, LOSS 0.074566, EER 28.6571, minDCF 0.988, Train Time 111.08s, Eval Time 87.32s
